Sex;Provinces;Rates;Periodo;Total
Both sexes;39 Cantabria;Employment rate;2002QII;45.78
Both sexes;39 Cantabria;Employment rate;2002QI;45.07
Both sexes;12 Castellón/Castelló;Activity rate;2023QII;56.79
Both sexes;12 Castellón/Castelló;Activity rate;2023QI;55.88
Both sexes;12 Castellón/Castelló;Activity rate;2022QIV;55.79
Both sexes;12 Castellón/Castelló;Activity rate;2022QIII;58.07
Both sexes;12 Castellón/Castelló;Activity rate;2022QII;57.36
Both sexes;12 Castellón/Castelló;Activity rate;2022QI;55.93
Both sexes;12 Castellón/Castelló;Activity rate;2021QIV;56.04
Both sexes;12 Castellón/Castelló;Activity rate;2021QIII;57.6
Both sexes;12 Castellón/Castelló;Activity rate;2021QII;58.12
Both sexes;12 Castellón/Castelló;Activity rate;2021QI;55.55
Both sexes;12 Castellón/Castelló;Activity rate;2020QIV;58
Both sexes;12 Castellón/Castelló;Activity rate;2020QIII;58.54
Both sexes;12 Castellón/Castelló;Activity rate;2020QII;56.77
Both sexes;12 Castellón/Castelló;Activity rate;2020QI;58.56
Both sexes;12 Castellón/Castelló;Activity rate;2019QIV;59.38
Both sexes;12 Castellón/Castelló;Activity rate;2019QIII;58.52
Both sexes;12 Castellón/Castelló;Activity rate;2019QII;56.97
Both sexes;12 Castellón/Castelló;Activity rate;2019QI;57.44
Both sexes;12 Castellón/Castelló;Activity rate;2018QIV;57.74
Both sexes;12 Castellón/Castelló;Activity rate;2018QIII;57.93
Both sexes;12 Castellón/Castelló;Activity rate;2018QII;58.32
Both sexes;12 Castellón/Castelló;Activity rate;2018QI;57.73
Both sexes;12 Castellón/Castelló;Activity rate;2017QIV;57.91
Both sexes;12 Castellón/Castelló;Activity rate;2017QIII;57.07
Both sexes;12 Castellón/Castelló;Activity rate;2017QII;56.09
Both sexes;12 Castellón/Castelló;Activity rate;2017QI;56.01
Both sexes;12 Castellón/Castelló;Activity rate;2016QIV;57.33
Both sexes;12 Castellón/Castelló;Activity rate;2016QIII;56.73
Both sexes;12 Castellón/Castelló;Activity rate;2016QII;56.23
Both sexes;12 Castellón/Castelló;Activity rate;2016QI;57.16
Both sexes;12 Castellón/Castelló;Activity rate;2015QIV;58.1
Both sexes;12 Castellón/Castelló;Activity rate;2015QIII;58.75
Both sexes;12 Castellón/Castelló;Activity rate;2015QII;59.91
Both sexes;12 Castellón/Castelló;Activity rate;2015QI;60.03
Both sexes;12 Castellón/Castelló;Activity rate;2014QIV;60.53
Both sexes;12 Castellón/Castelló;Activity rate;2014QIII;59.7
Both sexes;12 Castellón/Castelló;Activity rate;2014QII;60.27
Both sexes;12 Castellón/Castelló;Activity rate;2014QI;60.41
Both sexes;12 Castellón/Castelló;Activity rate;2013QIV;60.24
Both sexes;12 Castellón/Castelló;Activity rate;2013QIII;61.02
Both sexes;12 Castellón/Castelló;Activity rate;2013QII;59.82
Both sexes;12 Castellón/Castelló;Activity rate;2013QI;59.99
Both sexes;12 Castellón/Castelló;Activity rate;2012QIV;60.53
Both sexes;12 Castellón/Castelló;Activity rate;2012QIII;60.07
Both sexes;12 Castellón/Castelló;Activity rate;2012QII;59.96
Both sexes;12 Castellón/Castelló;Activity rate;2012QI;59.49
Both sexes;12 Castellón/Castelló;Activity rate;2011QIV;60.12
Both sexes;12 Castellón/Castelló;Activity rate;2011QIII;60.53
Both sexes;12 Castellón/Castelló;Activity rate;2011QII;60.34
Both sexes;12 Castellón/Castelló;Activity rate;2011QI;61.19
Both sexes;12 Castellón/Castelló;Activity rate;2010QIV;61.29
Both sexes;12 Castellón/Castelló;Activity rate;2010QIII;62.02
Both sexes;12 Castellón/Castelló;Activity rate;2010QII;61.27
Both sexes;12 Castellón/Castelló;Activity rate;2010QI;61.84
Both sexes;12 Castellón/Castelló;Activity rate;2009QIV;62.63
Both sexes;12 Castellón/Castelló;Activity rate;2009QIII;62.28
Both sexes;12 Castellón/Castelló;Activity rate;2009QII;62.64
Both sexes;12 Castellón/Castelló;Activity rate;2009QI;62.14
Both sexes;12 Castellón/Castelló;Activity rate;2008QIV;62.74
Both sexes;12 Castellón/Castelló;Activity rate;2008QIII;62.27
Both sexes;12 Castellón/Castelló;Activity rate;2008QII;63.13
Both sexes;12 Castellón/Castelló;Activity rate;2008QI;62.71
Both sexes;12 Castellón/Castelló;Activity rate;2007QIV;62.08
Both sexes;12 Castellón/Castelló;Activity rate;2007QIII;61.62
Both sexes;12 Castellón/Castelló;Activity rate;2007QII;60.75
Both sexes;12 Castellón/Castelló;Activity rate;2007QI;60.34
Both sexes;12 Castellón/Castelló;Activity rate;2006QIV;60.77
Both sexes;12 Castellón/Castelló;Activity rate;2006QIII;60.58
Both sexes;12 Castellón/Castelló;Activity rate;2006QII;61.08
Both sexes;12 Castellón/Castelló;Activity rate;2006QI;61.18
Both sexes;12 Castellón/Castelló;Activity rate;2005QIV;62.69
Both sexes;12 Castellón/Castelló;Activity rate;2005QIII;61.98
Both sexes;12 Castellón/Castelló;Activity rate;2005QII;60.02
Both sexes;12 Castellón/Castelló;Activity rate;2005QI;60.09
Both sexes;12 Castellón/Castelló;Activity rate;2004QIV;59.32
Both sexes;12 Castellón/Castelló;Activity rate;2004QIII;58
Both sexes;12 Castellón/Castelló;Activity rate;2004QII;57.03
Both sexes;12 Castellón/Castelló;Activity rate;2004QI;57.79
Both sexes;12 Castellón/Castelló;Activity rate;2003QIV;58.85
Both sexes;12 Castellón/Castelló;Activity rate;2003QIII;57.36
Both sexes;12 Castellón/Castelló;Activity rate;2003QII;57.01
Both sexes;12 Castellón/Castelló;Activity rate;2003QI;58.37
Both sexes;12 Castellón/Castelló;Activity rate;2002QIV;57.28
Both sexes;12 Castellón/Castelló;Activity rate;2002QIII;56.58
Both sexes;12 Castellón/Castelló;Activity rate;2002QII;56.27
Both sexes;12 Castellón/Castelló;Activity rate;2002QI;56.6
Both sexes;12 Castellón/Castelló;Unemployment rate;2023QII;14.37
Both sexes;12 Castellón/Castelló;Unemployment rate;2023QI;13.84
Both sexes;12 Castellón/Castelló;Unemployment rate;2022QIV;13.58
Both sexes;12 Castellón/Castelló;Unemployment rate;2022QIII;11.79
Both sexes;12 Castellón/Castelló;Unemployment rate;2022QII;10.55
Both sexes;12 Castellón/Castelló;Unemployment rate;2022QI;11.84
Both sexes;12 Castellón/Castelló;Unemployment rate;2021QIV;11.19
Both sexes;12 Castellón/Castelló;Unemployment rate;2021QIII;12.54
Both sexes;12 Castellón/Castelló;Unemployment rate;2021QII;15.2
Both sexes;12 Castellón/Castelló;Unemployment rate;2021QI;15.86
Both sexes;12 Castellón/Castelló;Unemployment rate;2020QIV;14.12
Both sexes;12 Castellón/Castelló;Unemployment rate;2020QIII;14.77
Both sexes;12 Castellón/Castelló;Unemployment rate;2020QII;14.44
Both sexes;12 Castellón/Castelló;Unemployment rate;2020QI;13.81
Both sexes;12 Castellón/Castelló;Unemployment rate;2019QIV;14.29
Both sexes;12 Castellón/Castelló;Unemployment rate;2019QIII;12.01
Both sexes;12 Castellón/Castelló;Unemployment rate;2019QII;14.25
Both sexes;12 Castellón/Castelló;Unemployment rate;2019QI;14.46
Both sexes;12 Castellón/Castelló;Unemployment rate;2018QIV;15.11
Both sexes;12 Castellón/Castelló;Unemployment rate;2018QIII;14.49
Both sexes;12 Castellón/Castelló;Unemployment rate;2018QII;15.68
Both sexes;12 Castellón/Castelló;Unemployment rate;2018QI;16.82
Both sexes;12 Castellón/Castelló;Unemployment rate;2017QIV;14.37
Both sexes;12 Castellón/Castelló;Unemployment rate;2017QIII;15.42
Both sexes;12 Castellón/Castelló;Unemployment rate;2017QII;17.58
Both sexes;12 Castellón/Castelló;Unemployment rate;2017QI;19.52
Both sexes;12 Castellón/Castelló;Unemployment rate;2016QIV;17.11
Both sexes;12 Castellón/Castelló;Unemployment rate;2016QIII;19.66
Both sexes;12 Castellón/Castelló;Unemployment rate;2016QII;19.79
Both sexes;12 Castellón/Castelló;Unemployment rate;2016QI;21.43
Both sexes;12 Castellón/Castelló;Unemployment rate;2015QIV;19.53
Both sexes;12 Castellón/Castelló;Unemployment rate;2015QIII;20.94
Both sexes;12 Castellón/Castelló;Unemployment rate;2015QII;23.85
Both sexes;12 Castellón/Castelló;Unemployment rate;2015QI;25.69
Both sexes;12 Castellón/Castelló;Unemployment rate;2014QIV;24.62
Both sexes;12 Castellón/Castelló;Unemployment rate;2014QIII;27.84
Both sexes;12 Castellón/Castelló;Unemployment rate;2014QII;27.66
Both sexes;12 Castellón/Castelló;Unemployment rate;2014QI;28.21
Both sexes;12 Castellón/Castelló;Unemployment rate;2013QIV;27.33
Both sexes;12 Castellón/Castelló;Unemployment rate;2013QIII;27.75
Both sexes;12 Castellón/Castelló;Unemployment rate;2013QII;30.75
Both sexes;12 Castellón/Castelló;Unemployment rate;2013QI;30.67
Both sexes;12 Castellón/Castelló;Unemployment rate;2012QIV;26.74
Both sexes;12 Castellón/Castelló;Unemployment rate;2012QIII;27.15
Both sexes;12 Castellón/Castelló;Unemployment rate;2012QII;27.2
Both sexes;12 Castellón/Castelló;Unemployment rate;2012QI;27.67
Both sexes;12 Castellón/Castelló;Unemployment rate;2011QIV;25.85
Both sexes;12 Castellón/Castelló;Unemployment rate;2011QIII;25.73
Both sexes;12 Castellón/Castelló;Unemployment rate;2011QII;26.2
Both sexes;12 Castellón/Castelló;Unemployment rate;2011QI;26.08
Both sexes;12 Castellón/Castelló;Unemployment rate;2010QIV;23.47
Both sexes;12 Castellón/Castelló;Unemployment rate;2010QIII;23.57
Both sexes;12 Castellón/Castelló;Unemployment rate;2010QII;24.28
Both sexes;12 Castellón/Castelló;Unemployment rate;2010QI;24.29
Both sexes;12 Castellón/Castelló;Unemployment rate;2009QIV;21.18
Both sexes;12 Castellón/Castelló;Unemployment rate;2009QIII;20.44
Both sexes;12 Castellón/Castelló;Unemployment rate;2009QII;19.38
Both sexes;12 Castellón/Castelló;Unemployment rate;2009QI;17.54
Both sexes;12 Castellón/Castelló;Unemployment rate;2008QIV;14.29
Both sexes;12 Castellón/Castelló;Unemployment rate;2008QIII;11.12
Both sexes;12 Castellón/Castelló;Unemployment rate;2008QII;9.35
Both sexes;12 Castellón/Castelló;Unemployment rate;2008QI;7.98
Both sexes;12 Castellón/Castelló;Unemployment rate;2007QIV;7.05
Both sexes;12 Castellón/Castelló;Unemployment rate;2007QIII;6.3
Both sexes;12 Castellón/Castelló;Unemployment rate;2007QII;7.27
Both sexes;12 Castellón/Castelló;Unemployment rate;2007QI;6.59
Both sexes;12 Castellón/Castelló;Unemployment rate;2006QIV;6.62
Both sexes;12 Castellón/Castelló;Unemployment rate;2006QIII;5.38
Both sexes;12 Castellón/Castelló;Unemployment rate;2006QII;6.5
Both sexes;12 Castellón/Castelló;Unemployment rate;2006QI;6.53
Both sexes;12 Castellón/Castelló;Unemployment rate;2005QIV;6.56
Both sexes;12 Castellón/Castelló;Unemployment rate;2005QIII;5.96
Both sexes;12 Castellón/Castelló;Unemployment rate;2005QII;8.81
Both sexes;12 Castellón/Castelló;Unemployment rate;2005QI;8.58
Both sexes;12 Castellón/Castelló;Unemployment rate;2004QIV;7.1
Both sexes;12 Castellón/Castelló;Unemployment rate;2004QIII;8.82
Both sexes;12 Castellón/Castelló;Unemployment rate;2004QII;9.02
Both sexes;12 Castellón/Castelló;Unemployment rate;2004QI;9.14
Both sexes;12 Castellón/Castelló;Unemployment rate;2003QIV;7.99
Both sexes;12 Castellón/Castelló;Unemployment rate;2003QIII;5.98
Both sexes;12 Castellón/Castelló;Unemployment rate;2003QII;6.66
Both sexes;12 Castellón/Castelló;Unemployment rate;2003QI;6.42
Both sexes;12 Castellón/Castelló;Unemployment rate;2002QIV;5.59
Both sexes;12 Castellón/Castelló;Unemployment rate;2002QIII;4.81
Both sexes;12 Castellón/Castelló;Unemployment rate;2002QII;5.3
Both sexes;12 Castellón/Castelló;Unemployment rate;2002QI;5.6
Both sexes;12 Castellón/Castelló;Employment rate;2023QII;48.63
Both sexes;12 Castellón/Castelló;Employment rate;2023QI;48.15
Both sexes;12 Castellón/Castelló;Employment rate;2022QIV;48.21
Both sexes;12 Castellón/Castelló;Employment rate;2022QIII;51.23
Both sexes;12 Castellón/Castelló;Employment rate;2022QII;51.31
Both sexes;12 Castellón/Castelló;Employment rate;2022QI;49.31
Both sexes;12 Castellón/Castelló;Employment rate;2021QIV;49.76
Both sexes;12 Castellón/Castelló;Employment rate;2021QIII;50.37
Both sexes;12 Castellón/Castelló;Employment rate;2021QII;49.29
Both sexes;12 Castellón/Castelló;Employment rate;2021QI;46.73
Both sexes;12 Castellón/Castelló;Employment rate;2020QIV;49.81
Both sexes;12 Castellón/Castelló;Employment rate;2020QIII;49.9
Both sexes;12 Castellón/Castelló;Employment rate;2020QII;48.57
Both sexes;12 Castellón/Castelló;Employment rate;2020QI;50.48
Both sexes;12 Castellón/Castelló;Employment rate;2019QIV;50.89
Both sexes;12 Castellón/Castelló;Employment rate;2019QIII;51.5
Both sexes;12 Castellón/Castelló;Employment rate;2019QII;48.85
Both sexes;12 Castellón/Castelló;Employment rate;2019QI;49.14
Both sexes;12 Castellón/Castelló;Employment rate;2018QIV;49.02
Both sexes;12 Castellón/Castelló;Employment rate;2018QIII;49.53
Both sexes;12 Castellón/Castelló;Employment rate;2018QII;49.17
Both sexes;12 Castellón/Castelló;Employment rate;2018QI;48.02
Both sexes;12 Castellón/Castelló;Employment rate;2017QIV;49.59
Both sexes;12 Castellón/Castelló;Employment rate;2017QIII;48.27
Both sexes;12 Castellón/Castelló;Employment rate;2017QII;46.23
Both sexes;12 Castellón/Castelló;Employment rate;2017QI;45.07
Both sexes;12 Castellón/Castelló;Employment rate;2016QIV;47.52
Both sexes;12 Castellón/Castelló;Employment rate;2016QIII;45.58
Both sexes;12 Castellón/Castelló;Employment rate;2016QII;45.1
Both sexes;12 Castellón/Castelló;Employment rate;2016QI;44.91
Both sexes;12 Castellón/Castelló;Employment rate;2015QIV;46.76
Both sexes;12 Castellón/Castelló;Employment rate;2015QIII;46.44
Both sexes;12 Castellón/Castelló;Employment rate;2015QII;45.62
Both sexes;12 Castellón/Castelló;Employment rate;2015QI;44.61
Both sexes;12 Castellón/Castelló;Employment rate;2014QIV;45.63
Both sexes;12 Castellón/Castelló;Employment rate;2014QIII;43.08
Both sexes;12 Castellón/Castelló;Employment rate;2014QII;43.6
Both sexes;12 Castellón/Castelló;Employment rate;2014QI;43.37
Both sexes;12 Castellón/Castelló;Employment rate;2013QIV;43.77
Both sexes;12 Castellón/Castelló;Employment rate;2013QIII;44.08
Both sexes;12 Castellón/Castelló;Employment rate;2013QII;41.43
Both sexes;12 Castellón/Castelló;Employment rate;2013QI;41.59
Both sexes;12 Castellón/Castelló;Employment rate;2012QIV;44.34
Both sexes;12 Castellón/Castelló;Employment rate;2012QIII;43.76
Both sexes;12 Castellón/Castelló;Employment rate;2012QII;43.65
Both sexes;12 Castellón/Castelló;Employment rate;2012QI;43.03
Both sexes;12 Castellón/Castelló;Employment rate;2011QIV;44.58
Both sexes;12 Castellón/Castelló;Employment rate;2011QIII;44.96
Both sexes;12 Castellón/Castelló;Employment rate;2011QII;44.53
Both sexes;12 Castellón/Castelló;Employment rate;2011QI;45.23
Both sexes;12 Castellón/Castelló;Employment rate;2010QIV;46.91
Both sexes;12 Castellón/Castelló;Employment rate;2010QIII;47.4
Both sexes;12 Castellón/Castelló;Employment rate;2010QII;46.39
Both sexes;12 Castellón/Castelló;Employment rate;2010QI;46.82
Both sexes;12 Castellón/Castelló;Employment rate;2009QIV;49.36
Both sexes;12 Castellón/Castelló;Employment rate;2009QIII;49.55
Both sexes;12 Castellón/Castelló;Employment rate;2009QII;50.5
Both sexes;12 Castellón/Castelló;Employment rate;2009QI;51.24
Both sexes;12 Castellón/Castelló;Employment rate;2008QIV;53.77
Both sexes;12 Castellón/Castelló;Employment rate;2008QIII;55.35
Both sexes;12 Castellón/Castelló;Employment rate;2008QII;57.23
Both sexes;12 Castellón/Castelló;Employment rate;2008QI;57.7
Both sexes;12 Castellón/Castelló;Employment rate;2007QIV;57.7
Both sexes;12 Castellón/Castelló;Employment rate;2007QIII;57.74
Both sexes;12 Castellón/Castelló;Employment rate;2007QII;56.34
Both sexes;12 Castellón/Castelló;Employment rate;2007QI;56.36
Both sexes;12 Castellón/Castelló;Employment rate;2006QIV;56.75
Both sexes;12 Castellón/Castelló;Employment rate;2006QIII;57.32
Both sexes;12 Castellón/Castelló;Employment rate;2006QII;57.11
Both sexes;12 Castellón/Castelló;Employment rate;2006QI;57.18
Both sexes;12 Castellón/Castelló;Employment rate;2005QIV;58.58
Both sexes;12 Castellón/Castelló;Employment rate;2005QIII;58.29
Both sexes;12 Castellón/Castelló;Employment rate;2005QII;54.73
Both sexes;12 Castellón/Castelló;Employment rate;2005QI;54.93
Both sexes;12 Castellón/Castelló;Employment rate;2004QIV;55.11
Both sexes;12 Castellón/Castelló;Employment rate;2004QIII;52.89
Both sexes;12 Castellón/Castelló;Employment rate;2004QII;51.89
Both sexes;12 Castellón/Castelló;Employment rate;2004QI;52.51
Both sexes;12 Castellón/Castelló;Employment rate;2003QIV;54.14
Both sexes;12 Castellón/Castelló;Employment rate;2003QIII;53.93
Both sexes;12 Castellón/Castelló;Employment rate;2003QII;53.22
Both sexes;12 Castellón/Castelló;Employment rate;2003QI;54.62
Both sexes;12 Castellón/Castelló;Employment rate;2002QIV;54.08
Both sexes;12 Castellón/Castelló;Employment rate;2002QIII;53.86
Both sexes;12 Castellón/Castelló;Employment rate;2002QII;53.29
Both sexes;12 Castellón/Castelló;Employment rate;2002QI;53.43
Both sexes;13 Ciudad Real;Activity rate;2023QII;55.65
Both sexes;13 Ciudad Real;Activity rate;2023QI;55.34
Both sexes;13 Ciudad Real;Activity rate;2022QIV;56.13
Both sexes;13 Ciudad Real;Activity rate;2022QIII;56.2
Both sexes;13 Ciudad Real;Activity rate;2022QII;55.64
Both sexes;13 Ciudad Real;Activity rate;2022QI;55.39
Both sexes;13 Ciudad Real;Activity rate;2021QIV;56.37
Both sexes;13 Ciudad Real;Activity rate;2021QIII;56.58
Both sexes;13 Ciudad Real;Activity rate;2021QII;55.87
Both sexes;13 Ciudad Real;Activity rate;2021QI;55.25
Both sexes;13 Ciudad Real;Activity rate;2020QIV;54.46
Both sexes;13 Ciudad Real;Activity rate;2020QIII;55.05
Both sexes;13 Ciudad Real;Activity rate;2020QII;51.43
Both sexes;13 Ciudad Real;Activity rate;2020QI;55.3
Both sexes;13 Ciudad Real;Activity rate;2019QIV;56.39
Both sexes;13 Ciudad Real;Activity rate;2019QIII;55.89
Both sexes;13 Ciudad Real;Activity rate;2019QII;55.72
Both sexes;13 Ciudad Real;Activity rate;2019QI;55.77
Both sexes;13 Ciudad Real;Activity rate;2018QIV;54.98
Both sexes;13 Ciudad Real;Activity rate;2018QIII;54.29
Both sexes;13 Ciudad Real;Activity rate;2018QII;54.99
Both sexes;13 Ciudad Real;Activity rate;2018QI;56.16
Both sexes;13 Ciudad Real;Activity rate;2017QIV;56.16
Both sexes;13 Ciudad Real;Activity rate;2017QIII;55.19
Both sexes;13 Ciudad Real;Activity rate;2017QII;56.15
Both sexes;13 Ciudad Real;Activity rate;2017QI;56.3
Both sexes;13 Ciudad Real;Activity rate;2016QIV;55.95
Both sexes;13 Ciudad Real;Activity rate;2016QIII;55.75
Both sexes;13 Ciudad Real;Activity rate;2016QII;55.88
Both sexes;13 Ciudad Real;Activity rate;2016QI;55.47
Both sexes;13 Ciudad Real;Activity rate;2015QIV;55.02
Both sexes;13 Ciudad Real;Activity rate;2015QIII;55.54
Both sexes;13 Ciudad Real;Activity rate;2015QII;55.22
Both sexes;13 Ciudad Real;Activity rate;2015QI;55.01
Both sexes;13 Ciudad Real;Activity rate;2014QIV;56.13
Both sexes;13 Ciudad Real;Activity rate;2014QIII;57.93
Both sexes;13 Ciudad Real;Activity rate;2014QII;56.58
Both sexes;13 Ciudad Real;Activity rate;2014QI;56.51
Both sexes;13 Ciudad Real;Activity rate;2013QIV;56.14
Both sexes;13 Ciudad Real;Activity rate;2013QIII;56.11
Both sexes;13 Ciudad Real;Activity rate;2013QII;54.73
Both sexes;13 Ciudad Real;Activity rate;2013QI;55.81
Both sexes;13 Ciudad Real;Activity rate;2012QIV;55.3
Both sexes;13 Ciudad Real;Activity rate;2012QIII;55.99
Both sexes;13 Ciudad Real;Activity rate;2012QII;55.85
Both sexes;13 Ciudad Real;Activity rate;2012QI;55.86
Both sexes;13 Ciudad Real;Activity rate;2011QIV;56.46
Both sexes;13 Ciudad Real;Activity rate;2011QIII;55.12
Both sexes;13 Ciudad Real;Activity rate;2011QII;56.13
Both sexes;13 Ciudad Real;Activity rate;2011QI;55.62
Both sexes;13 Ciudad Real;Activity rate;2010QIV;55.74
Both sexes;13 Ciudad Real;Activity rate;2010QIII;55.88
Both sexes;13 Ciudad Real;Activity rate;2010QII;57.13
Both sexes;13 Ciudad Real;Activity rate;2010QI;56.86
Both sexes;13 Ciudad Real;Activity rate;2009QIV;56.71
Both sexes;13 Ciudad Real;Activity rate;2009QIII;55.12
Both sexes;13 Ciudad Real;Activity rate;2009QII;56.28
Both sexes;13 Ciudad Real;Activity rate;2009QI;54.97
Both sexes;13 Ciudad Real;Activity rate;2008QIV;55.11
Both sexes;13 Ciudad Real;Activity rate;2008QIII;55.26
Both sexes;13 Ciudad Real;Activity rate;2008QII;55.09
Both sexes;13 Ciudad Real;Activity rate;2008QI;53.34
Both sexes;13 Ciudad Real;Activity rate;2007QIV;52.65
Both sexes;13 Ciudad Real;Activity rate;2007QIII;54.04
Both sexes;13 Ciudad Real;Activity rate;2007QII;53.96
Both sexes;13 Ciudad Real;Activity rate;2007QI;52.84
Both sexes;13 Ciudad Real;Activity rate;2006QIV;52.91
Both sexes;13 Ciudad Real;Activity rate;2006QIII;53.79
Both sexes;13 Ciudad Real;Activity rate;2006QII;52.82
Both sexes;13 Ciudad Real;Activity rate;2006QI;52.84
Both sexes;13 Ciudad Real;Activity rate;2005QIV;52.33
Both sexes;13 Ciudad Real;Activity rate;2005QIII;53.22
Both sexes;13 Ciudad Real;Activity rate;2005QII;52.01
Both sexes;13 Ciudad Real;Activity rate;2005QI;51.26
Both sexes;13 Ciudad Real;Activity rate;2004QIV;51.61
Both sexes;13 Ciudad Real;Activity rate;2004QIII;50.66
Both sexes;13 Ciudad Real;Activity rate;2004QII;48.22
Both sexes;13 Ciudad Real;Activity rate;2004QI;47.42
Both sexes;13 Ciudad Real;Activity rate;2003QIV;49.92
Both sexes;13 Ciudad Real;Activity rate;2003QIII;50.63
Both sexes;13 Ciudad Real;Activity rate;2003QII;49.54
Both sexes;13 Ciudad Real;Activity rate;2003QI;49.22
Both sexes;13 Ciudad Real;Activity rate;2002QIV;48.17
Both sexes;13 Ciudad Real;Activity rate;2002QIII;48.39
Both sexes;13 Ciudad Real;Activity rate;2002QII;47.78
Both sexes;13 Ciudad Real;Activity rate;2002QI;47.83
Both sexes;13 Ciudad Real;Unemployment rate;2023QII;15.24
Both sexes;13 Ciudad Real;Unemployment rate;2023QI;18.24
Both sexes;13 Ciudad Real;Unemployment rate;2022QIV;20.79
Both sexes;13 Ciudad Real;Unemployment rate;2022QIII;19.39
Both sexes;13 Ciudad Real;Unemployment rate;2022QII;17.1
Both sexes;13 Ciudad Real;Unemployment rate;2022QI;18.28
Both sexes;13 Ciudad Real;Unemployment rate;2021QIV;16.11
Both sexes;13 Ciudad Real;Unemployment rate;2021QIII;16.29
Both sexes;13 Ciudad Real;Unemployment rate;2021QII;18.02
Both sexes;13 Ciudad Real;Unemployment rate;2021QI;19.99
Both sexes;13 Ciudad Real;Unemployment rate;2020QIV;17.49
Both sexes;13 Ciudad Real;Unemployment rate;2020QIII;18.35
Both sexes;13 Ciudad Real;Unemployment rate;2020QII;16.54
Both sexes;13 Ciudad Real;Unemployment rate;2020QI;19.21
Both sexes;13 Ciudad Real;Unemployment rate;2019QIV;19.34
Both sexes;13 Ciudad Real;Unemployment rate;2019QIII;18.38
Both sexes;13 Ciudad Real;Unemployment rate;2019QII;17.82
Both sexes;13 Ciudad Real;Unemployment rate;2019QI;17.5
Both sexes;13 Ciudad Real;Unemployment rate;2018QIV;16.82
Both sexes;13 Ciudad Real;Unemployment rate;2018QIII;18.75
Both sexes;13 Ciudad Real;Unemployment rate;2018QII;21.87
Both sexes;13 Ciudad Real;Unemployment rate;2018QI;23.01
Both sexes;13 Ciudad Real;Unemployment rate;2017QIV;23.3
Both sexes;13 Ciudad Real;Unemployment rate;2017QIII;22.26
Both sexes;13 Ciudad Real;Unemployment rate;2017QII;26.33
Both sexes;13 Ciudad Real;Unemployment rate;2017QI;25.76
Both sexes;13 Ciudad Real;Unemployment rate;2016QIV;25.09
Both sexes;13 Ciudad Real;Unemployment rate;2016QIII;24.11
Both sexes;13 Ciudad Real;Unemployment rate;2016QII;26.3
Both sexes;13 Ciudad Real;Unemployment rate;2016QI;29.43
Both sexes;13 Ciudad Real;Unemployment rate;2015QIV;28.95
Both sexes;13 Ciudad Real;Unemployment rate;2015QIII;29.98
Both sexes;13 Ciudad Real;Unemployment rate;2015QII;32.25
Both sexes;13 Ciudad Real;Unemployment rate;2015QI;33.98
Both sexes;13 Ciudad Real;Unemployment rate;2014QIV;33.39
Both sexes;13 Ciudad Real;Unemployment rate;2014QIII;32.63
Both sexes;13 Ciudad Real;Unemployment rate;2014QII;32.64
Both sexes;13 Ciudad Real;Unemployment rate;2014QI;33.47
Both sexes;13 Ciudad Real;Unemployment rate;2013QIV;30.03
Both sexes;13 Ciudad Real;Unemployment rate;2013QIII;28.89
Both sexes;13 Ciudad Real;Unemployment rate;2013QII;30.79
Both sexes;13 Ciudad Real;Unemployment rate;2013QI;32.45
Both sexes;13 Ciudad Real;Unemployment rate;2012QIV;30.74
Both sexes;13 Ciudad Real;Unemployment rate;2012QIII;30.09
Both sexes;13 Ciudad Real;Unemployment rate;2012QII;32.62
Both sexes;13 Ciudad Real;Unemployment rate;2012QI;30.82
Both sexes;13 Ciudad Real;Unemployment rate;2011QIV;27.24
Both sexes;13 Ciudad Real;Unemployment rate;2011QIII;23.14
Both sexes;13 Ciudad Real;Unemployment rate;2011QII;22.91
Both sexes;13 Ciudad Real;Unemployment rate;2011QI;22.07
Both sexes;13 Ciudad Real;Unemployment rate;2010QIV;22.07
Both sexes;13 Ciudad Real;Unemployment rate;2010QIII;20.04
Both sexes;13 Ciudad Real;Unemployment rate;2010QII;23.38
Both sexes;13 Ciudad Real;Unemployment rate;2010QI;23.42
Both sexes;13 Ciudad Real;Unemployment rate;2009QIV;21.17
Both sexes;13 Ciudad Real;Unemployment rate;2009QIII;18.9
Both sexes;13 Ciudad Real;Unemployment rate;2009QII;20.15
Both sexes;13 Ciudad Real;Unemployment rate;2009QI;18.98
Both sexes;13 Ciudad Real;Unemployment rate;2008QIV;15.91
Both sexes;13 Ciudad Real;Unemployment rate;2008QIII;14.5
Both sexes;13 Ciudad Real;Unemployment rate;2008QII;12.46
Both sexes;13 Ciudad Real;Unemployment rate;2008QI;11.15
Both sexes;13 Ciudad Real;Unemployment rate;2007QIV;9.33
Both sexes;13 Ciudad Real;Unemployment rate;2007QIII;9.25
Both sexes;13 Ciudad Real;Unemployment rate;2007QII;9.22
Both sexes;13 Ciudad Real;Unemployment rate;2007QI;9.28
Both sexes;13 Ciudad Real;Unemployment rate;2006QIV;10.13
Both sexes;13 Ciudad Real;Unemployment rate;2006QIII;9.86
Both sexes;13 Ciudad Real;Unemployment rate;2006QII;11.51
Both sexes;13 Ciudad Real;Unemployment rate;2006QI;12.21
Both sexes;13 Ciudad Real;Unemployment rate;2005QIV;10.02
