sex,provinces,rates,year,total,quarter
Both sexes,37 Salamanca,Unemployment rate,2008,16.63,4
Both sexes,37 Salamanca,Unemployment rate,2008,12.13,3
Both sexes,37 Salamanca,Unemployment rate,2008,9.46,2
Both sexes,37 Salamanca,Unemployment rate,2008,7.83,1
Both sexes,37 Salamanca,Employment rate,2008,43.77,4
Both sexes,37 Salamanca,Employment rate,2008,45.61,3
Both sexes,37 Salamanca,Employment rate,2008,46.39,2
Both sexes,37 Salamanca,Employment rate,2008,47.79,1
Both sexes,38 Santa Cruz de Tenerife,Activity rate,2008,59.68,4
Both sexes,38 Santa Cruz de Tenerife,Activity rate,2008,59.04,3
Both sexes,38 Santa Cruz de Tenerife,Activity rate,2008,59.25,2
Both sexes,38 Santa Cruz de Tenerife,Activity rate,2008,59.71,1
Both sexes,38 Santa Cruz de Tenerife,Unemployment rate,2008,19.5,4
Both sexes,38 Santa Cruz de Tenerife,Unemployment rate,2008,16.12,3
Both sexes,38 Santa Cruz de Tenerife,Unemployment rate,2008,14.68,2
Both sexes,38 Santa Cruz de Tenerife,Unemployment rate,2008,14.22,1
Both sexes,38 Santa Cruz de Tenerife,Employment rate,2008,48.04,4
Both sexes,38 Santa Cruz de Tenerife,Employment rate,2008,49.52,3
Both sexes,38 Santa Cruz de Tenerife,Employment rate,2008,50.55,2
Both sexes,38 Santa Cruz de Tenerife,Employment rate,2008,51.22,1
Both sexes,40 Segovia,Activity rate,2008,59.31,4
Both sexes,40 Segovia,Activity rate,2008,60.33,3
Both sexes,40 Segovia,Activity rate,2008,57.49,2
Both sexes,40 Segovia,Activity rate,2008,55.86,1
Both sexes,40 Segovia,Unemployment rate,2008,10.78,4
Both sexes,40 Segovia,Unemployment rate,2008,8.62,3
Both sexes,40 Segovia,Unemployment rate,2008,10.5,2
Both sexes,40 Segovia,Unemployment rate,2008,11.67,1
Both sexes,40 Segovia,Employment rate,2008,52.91,4
Both sexes,40 Segovia,Employment rate,2008,55.13,3
Both sexes,40 Segovia,Employment rate,2008,51.45,2
Both sexes,40 Segovia,Employment rate,2008,49.34,1
Both sexes,41 Sevilla,Activity rate,2008,60.28,4
Both sexes,41 Sevilla,Activity rate,2008,58.89,3
Both sexes,41 Sevilla,Activity rate,2008,59.36,2
Both sexes,41 Sevilla,Activity rate,2008,58.71,1
Both sexes,41 Sevilla,Unemployment rate,2008,19.72,4
Both sexes,41 Sevilla,Unemployment rate,2008,15.89,3
Both sexes,41 Sevilla,Unemployment rate,2008,14.09,2
Both sexes,41 Sevilla,Unemployment rate,2008,14.13,1
Both sexes,41 Sevilla,Employment rate,2008,48.39,4
Both sexes,41 Sevilla,Employment rate,2008,49.54,3
Both sexes,41 Sevilla,Employment rate,2008,50.99,2
Both sexes,41 Sevilla,Employment rate,2008,50.41,1
Both sexes,42 Soria,Activity rate,2008,55.77,4
Both sexes,42 Soria,Activity rate,2008,56.85,3
Both sexes,42 Soria,Activity rate,2008,56.91,2
Both sexes,42 Soria,Activity rate,2008,57.2,1
Both sexes,42 Soria,Unemployment rate,2008,5.66,4
Both sexes,42 Soria,Unemployment rate,2008,4.77,3
Both sexes,42 Soria,Unemployment rate,2008,6.58,2
Both sexes,42 Soria,Unemployment rate,2008,5.32,1
Both sexes,42 Soria,Employment rate,2008,52.61,4
Both sexes,42 Soria,Employment rate,2008,54.14,3
Both sexes,42 Soria,Employment rate,2008,53.17,2
Both sexes,42 Soria,Employment rate,2008,54.16,1
Both sexes,43 Tarragona,Activity rate,2008,62.73,4
Both sexes,43 Tarragona,Activity rate,2008,62.48,3
Both sexes,43 Tarragona,Activity rate,2008,62.76,2
Both sexes,43 Tarragona,Activity rate,2008,62.63,1
Both sexes,43 Tarragona,Unemployment rate,2008,13.74,4
Both sexes,43 Tarragona,Unemployment rate,2008,10.06,3
Both sexes,43 Tarragona,Unemployment rate,2008,9.19,2
Both sexes,43 Tarragona,Unemployment rate,2008,7.25,1
Both sexes,43 Tarragona,Employment rate,2008,54.11,4
Both sexes,43 Tarragona,Employment rate,2008,56.19,3
Both sexes,43 Tarragona,Employment rate,2008,56.99,2
Both sexes,43 Tarragona,Employment rate,2008,58.09,1
Both sexes,44 Teruel,Activity rate,2008,55.07,4
Both sexes,44 Teruel,Activity rate,2008,54.7,3
Both sexes,44 Teruel,Activity rate,2008,55.62,2
Both sexes,44 Teruel,Activity rate,2008,55.31,1
Both sexes,44 Teruel,Unemployment rate,2008,7.41,4
Both sexes,44 Teruel,Unemployment rate,2008,5.11,3
Both sexes,44 Teruel,Unemployment rate,2008,7.61,2
Both sexes,44 Teruel,Unemployment rate,2008,5.25,1
Both sexes,44 Teruel,Employment rate,2008,50.99,4
Both sexes,44 Teruel,Employment rate,2008,51.91,3
Both sexes,44 Teruel,Employment rate,2008,51.39,2
Both sexes,44 Teruel,Employment rate,2008,52.41,1
Both sexes,45 Toledo,Activity rate,2008,59.77,4
Both sexes,45 Toledo,Activity rate,2008,59.58,3
Both sexes,45 Toledo,Activity rate,2008,60.68,2
Both sexes,45 Toledo,Activity rate,2008,60.23,1
Both sexes,45 Toledo,Unemployment rate,2008,15.96,4
Both sexes,45 Toledo,Unemployment rate,2008,11.88,3
Both sexes,45 Toledo,Unemployment rate,2008,10.65,2
Both sexes,45 Toledo,Unemployment rate,2008,10.04,1
Both sexes,45 Toledo,Employment rate,2008,50.23,4
Both sexes,45 Toledo,Employment rate,2008,52.5,3
Both sexes,45 Toledo,Employment rate,2008,54.21,2
Both sexes,45 Toledo,Employment rate,2008,54.18,1
Both sexes,46 Valencia/València,Activity rate,2008,61.63,4
Both sexes,46 Valencia/València,Activity rate,2008,61.04,3
Both sexes,46 Valencia/València,Activity rate,2008,61.78,2
Both sexes,46 Valencia/València,Activity rate,2008,62.24,1
Both sexes,46 Valencia/València,Unemployment rate,2008,13.7,4
Both sexes,46 Valencia/València,Unemployment rate,2008,11.83,3
Both sexes,46 Valencia/València,Unemployment rate,2008,10.38,2
Both sexes,46 Valencia/València,Unemployment rate,2008,9.05,1
Both sexes,46 Valencia/València,Employment rate,2008,53.18,4
Both sexes,46 Valencia/València,Employment rate,2008,53.82,3
Both sexes,46 Valencia/València,Employment rate,2008,55.37,2
Both sexes,46 Valencia/València,Employment rate,2008,56.61,1
Both sexes,47 Valladolid,Activity rate,2008,58.7,4
Both sexes,47 Valladolid,Activity rate,2008,58.87,3
Both sexes,47 Valladolid,Activity rate,2008,59.45,2
Both sexes,47 Valladolid,Activity rate,2008,58.87,1
Both sexes,47 Valladolid,Unemployment rate,2008,9.68,4
Both sexes,47 Valladolid,Unemployment rate,2008,8.75,3
Both sexes,47 Valladolid,Unemployment rate,2008,8.92,2
Both sexes,47 Valladolid,Unemployment rate,2008,8.16,1
Both sexes,47 Valladolid,Employment rate,2008,53.02,4
Both sexes,47 Valladolid,Employment rate,2008,53.72,3
Both sexes,47 Valladolid,Employment rate,2008,54.15,2
Both sexes,47 Valladolid,Employment rate,2008,54.07,1
Both sexes,49 Zamora,Activity rate,2008,48.74,4
Both sexes,49 Zamora,Activity rate,2008,49.5,3
Both sexes,49 Zamora,Activity rate,2008,47.41,2
Both sexes,49 Zamora,Activity rate,2008,46.95,1
Both sexes,49 Zamora,Unemployment rate,2008,11.35,4
Both sexes,49 Zamora,Unemployment rate,2008,10,3
Both sexes,49 Zamora,Unemployment rate,2008,7.98,2
Both sexes,49 Zamora,Unemployment rate,2008,8.61,1
Both sexes,49 Zamora,Employment rate,2008,43.21,4
Both sexes,49 Zamora,Employment rate,2008,44.55,3
Both sexes,49 Zamora,Employment rate,2008,43.63,2
Both sexes,49 Zamora,Employment rate,2008,42.91,1
Both sexes,50 Zaragoza,Activity rate,2008,60.98,4
Both sexes,50 Zaragoza,Activity rate,2008,60.37,3
Both sexes,50 Zaragoza,Activity rate,2008,60.72,2
Both sexes,50 Zaragoza,Activity rate,2008,60.42,1
Both sexes,50 Zaragoza,Unemployment rate,2008,10.74,4
Both sexes,50 Zaragoza,Unemployment rate,2008,7.09,3
Both sexes,50 Zaragoza,Unemployment rate,2008,7.16,2
Both sexes,50 Zaragoza,Unemployment rate,2008,6.41,1
Both sexes,50 Zaragoza,Employment rate,2008,54.43,4
Both sexes,50 Zaragoza,Employment rate,2008,56.09,3
Both sexes,50 Zaragoza,Employment rate,2008,56.37,2
Both sexes,50 Zaragoza,Employment rate,2008,56.54,1
Both sexes,51 Ceuta,Activity rate,2008,58.7,4
Both sexes,51 Ceuta,Activity rate,2008,56.17,3
Both sexes,51 Ceuta,Activity rate,2008,56.37,2
Both sexes,51 Ceuta,Activity rate,2008,54.54,1
Both sexes,51 Ceuta,Unemployment rate,2008,15.66,4
Both sexes,51 Ceuta,Unemployment rate,2008,17.85,3
Both sexes,51 Ceuta,Unemployment rate,2008,19.48,2
Both sexes,51 Ceuta,Unemployment rate,2008,16.81,1
Both sexes,51 Ceuta,Employment rate,2008,49.5,4
Both sexes,51 Ceuta,Employment rate,2008,46.15,3
Both sexes,51 Ceuta,Employment rate,2008,45.38,2
Both sexes,51 Ceuta,Employment rate,2008,45.37,1
Both sexes,52 Melilla,Activity rate,2008,50.68,4
Both sexes,52 Melilla,Activity rate,2008,57.15,3
Both sexes,52 Melilla,Activity rate,2008,55.85,2
Both sexes,52 Melilla,Activity rate,2008,56.81,1
Both sexes,52 Melilla,Unemployment rate,2008,16.17,4
Both sexes,52 Melilla,Unemployment rate,2008,22.69,3
Both sexes,52 Melilla,Unemployment rate,2008,18.02,2
Both sexes,52 Melilla,Unemployment rate,2008,22.69,1
Both sexes,52 Melilla,Employment rate,2008,42.49,4
Both sexes,52 Melilla,Employment rate,2008,44.18,3
Both sexes,52 Melilla,Employment rate,2008,45.79,2
Both sexes,52 Melilla,Employment rate,2008,43.92,1
Males,National Total,Activity rate,2008,69.21,4
Males,National Total,Activity rate,2008,69.83,3
Males,National Total,Activity rate,2008,69.71,2
Males,National Total,Activity rate,2008,69.42,1
Males,National Total,Unemployment rate,2008,12.96,4
Males,National Total,Unemployment rate,2008,10.29,3
Males,National Total,Unemployment rate,2008,9.06,2
Males,National Total,Unemployment rate,2008,7.9,1
Males,National Total,Employment rate,2008,60.24,4
Males,National Total,Employment rate,2008,62.64,3
Males,National Total,Employment rate,2008,63.4,2
Males,National Total,Employment rate,2008,63.94,1
Males,02 Albacete,Activity rate,2008,67.44,4
Males,02 Albacete,Activity rate,2008,68.56,3
Males,02 Albacete,Activity rate,2008,67.3,2
Males,02 Albacete,Activity rate,2008,67.06,1
Males,02 Albacete,Unemployment rate,2008,15.54,4
Males,02 Albacete,Unemployment rate,2008,11.49,3
Males,02 Albacete,Unemployment rate,2008,9.3,2
Males,02 Albacete,Unemployment rate,2008,7.2,1
Males,02 Albacete,Employment rate,2008,56.96,4
Males,02 Albacete,Employment rate,2008,60.68,3
Males,02 Albacete,Employment rate,2008,61.04,2
Males,02 Albacete,Employment rate,2008,62.23,1
Males,03 Alicante/Alacant,Activity rate,2008,67.17,4
Males,03 Alicante/Alacant,Activity rate,2008,68.54,3
Males,03 Alicante/Alacant,Activity rate,2008,68.73,2
Males,03 Alicante/Alacant,Activity rate,2008,67.37,1
Males,03 Alicante/Alacant,Unemployment rate,2008,13.87,4
Males,03 Alicante/Alacant,Unemployment rate,2008,12.99,3
Males,03 Alicante/Alacant,Unemployment rate,2008,12.36,2
Males,03 Alicante/Alacant,Unemployment rate,2008,10.28,1
Males,03 Alicante/Alacant,Employment rate,2008,57.85,4
Males,03 Alicante/Alacant,Employment rate,2008,59.63,3
Males,03 Alicante/Alacant,Employment rate,2008,60.23,2
Males,03 Alicante/Alacant,Employment rate,2008,60.45,1
Males,04 Almería,Activity rate,2008,74.4,4
Males,04 Almería,Activity rate,2008,72.26,3
Males,04 Almería,Activity rate,2008,69.81,2
Males,04 Almería,Activity rate,2008,72.54,1
Males,04 Almería,Unemployment rate,2008,23.5,4
Males,04 Almería,Unemployment rate,2008,17.87,3
Males,04 Almería,Unemployment rate,2008,14.77,2
Males,04 Almería,Unemployment rate,2008,12.67,1
Males,04 Almería,Employment rate,2008,56.92,4
Males,04 Almería,Employment rate,2008,59.35,3
Males,04 Almería,Employment rate,2008,59.5,2
Males,04 Almería,Employment rate,2008,63.35,1
Males,01 Araba/Álava,Activity rate,2008,71.29,4
Males,01 Araba/Álava,Activity rate,2008,70.74,3
Males,01 Araba/Álava,Activity rate,2008,70.46,2
Males,01 Araba/Álava,Activity rate,2008,69.4,1
Males,01 Araba/Álava,Unemployment rate,2008,7.76,4
Males,01 Araba/Álava,Unemployment rate,2008,5.02,3
Males,01 Araba/Álava,Unemployment rate,2008,3.17,2
Males,01 Araba/Álava,Unemployment rate,2008,2,1
Males,01 Araba/Álava,Employment rate,2008,65.76,4
Males,01 Araba/Álava,Employment rate,2008,67.19,3
Males,01 Araba/Álava,Employment rate,2008,68.23,2
Males,01 Araba/Álava,Employment rate,2008,68.02,1
Males,33 Asturias,Activity rate,2008,59.92,4
Males,33 Asturias,Activity rate,2008,61.92,3
Males,33 Asturias,Activity rate,2008,61.36,2
Males,33 Asturias,Activity rate,2008,60.05,1
Males,33 Asturias,Unemployment rate,2008,8.34,4
Males,33 Asturias,Unemployment rate,2008,6.03,3
Males,33 Asturias,Unemployment rate,2008,6.59,2
Males,33 Asturias,Unemployment rate,2008,6.13,1
Males,33 Asturias,Employment rate,2008,54.92,4
Males,33 Asturias,Employment rate,2008,58.18,3
Males,33 Asturias,Employment rate,2008,57.32,2
Males,33 Asturias,Employment rate,2008,56.37,1
Males,05 Ávila,Activity rate,2008,61.65,4
Males,05 Ávila,Activity rate,2008,62.73,3
Males,05 Ávila,Activity rate,2008,62.58,2
Males,05 Ávila,Activity rate,2008,62.76,1
Males,05 Ávila,Unemployment rate,2008,13.44,4
Males,05 Ávila,Unemployment rate,2008,10.11,3
Males,05 Ávila,Unemployment rate,2008,6.07,2
Males,05 Ávila,Unemployment rate,2008,6.68,1
Males,05 Ávila,Employment rate,2008,53.37,4
Males,05 Ávila,Employment rate,2008,56.39,3
Males,05 Ávila,Employment rate,2008,58.78,2
Males,05 Ávila,Employment rate,2008,58.57,1
Males,06 Badajoz,Activity rate,2008,66.97,4
Males,06 Badajoz,Activity rate,2008,66.95,3
Males,06 Badajoz,Activity rate,2008,66.62,2
Males,06 Badajoz,Activity rate,2008,64.91,1
Males,06 Badajoz,Unemployment rate,2008,16.12,4
Males,06 Badajoz,Unemployment rate,2008,11.03,3
Males,06 Badajoz,Unemployment rate,2008,10.76,2
Males,06 Badajoz,Unemployment rate,2008,9.52,1
Males,06 Badajoz,Employment rate,2008,56.17,4
Males,06 Badajoz,Employment rate,2008,59.57,3
Males,06 Badajoz,Employment rate,2008,59.45,2
Males,06 Badajoz,Employment rate,2008,58.73,1
Males,07 Balears. Illes,Activity rate,2008,71.76,4
Males,07 Balears. Illes,Activity rate,2008,75.39,3
Males,07 Balears. Illes,Activity rate,2008,74.58,2
Males,07 Balears. Illes,Activity rate,2008,71.96,1
Males,07 Balears. Illes,Unemployment rate,2008,12.44,4
Males,07 Balears. Illes,Unemployment rate,2008,9.65,3
Males,07 Balears. Illes,Unemployment rate,2008,7.58,2
Males,07 Balears. Illes,Unemployment rate,2008,9.11,1
Males,07 Balears. Illes,Employment rate,2008,62.83,4
Males,07 Balears. Illes,Employment rate,2008,68.12,3
Males,07 Balears. Illes,Employment rate,2008,68.93,2
Males,07 Balears. Illes,Employment rate,2008,65.4,1
Males,08 Barcelona,Activity rate,2008,72.26,4
Males,08 Barcelona,Activity rate,2008,72.17,3
Males,08 Barcelona,Activity rate,2008,73,2
Males,08 Barcelona,Activity rate,2008,73.32,1
Males,08 Barcelona,Unemployment rate,2008,11.96,4
Males,08 Barcelona,Unemployment rate,2008,9.05,3
Males,08 Barcelona,Unemployment rate,2008,7.34,2
Males,08 Barcelona,Unemployment rate,2008,6.66,1
Males,08 Barcelona,Employment rate,2008,63.62,4
Males,08 Barcelona,Employment rate,2008,65.64,3
Males,08 Barcelona,Employment rate,2008,67.64,2
Males,08 Barcelona,Employment rate,2008,68.44,1
Males,48 Bizkaia,Activity rate,2008,64.47,4
Males,48 Bizkaia,Activity rate,2008,65.68,3
Males,48 Bizkaia,Activity rate,2008,66.23,2
Males,48 Bizkaia,Activity rate,2008,65.14,1
Males,48 Bizkaia,Unemployment rate,2008,8.97,4
Males,48 Bizkaia,Unemployment rate,2008,8.04,3
Males,48 Bizkaia,Unemployment rate,2008,5.28,2
Males,48 Bizkaia,Unemployment rate,2008,5.89,1
Males,48 Bizkaia,Employment rate,2008,58.69,4
Males,48 Bizkaia,Employment rate,2008,60.4,3
Males,48 Bizkaia,Employment rate,2008,62.73,2
Males,48 Bizkaia,Employment rate,2008,61.31,1
Males,09 Burgos,Activity rate,2008,69.96,4
Males,09 Burgos,Activity rate,2008,70.01,3
Males,09 Burgos,Activity rate,2008,70.39,2
Males,09 Burgos,Activity rate,2008,71.44,1
Males,09 Burgos,Unemployment rate,2008,7.16,4
Males,09 Burgos,Unemployment rate,2008,5.99,3
Males,09 Burgos,Unemployment rate,2008,6.01,2
Males,09 Burgos,Unemployment rate,2008,5.53,1
Males,09 Burgos,Employment rate,2008,64.95,4
Males,09 Burgos,Employment rate,2008,65.81,3
Males,09 Burgos,Employment rate,2008,66.16,2
Males,09 Burgos,Employment rate,2008,67.49,1
Males,10 Cáceres,Activity rate,2008,59.56,4
Males,10 Cáceres,Activity rate,2008,62.01,3
Males,10 Cáceres,Activity rate,2008,62.08,2
Males,10 Cáceres,Activity rate,2008,62.74,1
Males,10 Cáceres,Unemployment rate,2008,12.12,4
Males,10 Cáceres,Unemployment rate,2008,9.5,3
Males,10 Cáceres,Unemployment rate,2008,7.02,2
Males,10 Cáceres,Unemployment rate,2008,10.19,1
Males,10 Cáceres,Employment rate,2008,52.34,4
Males,10 Cáceres,Employment rate,2008,56.12,3
Males,10 Cáceres,Employment rate,2008,57.72,2
Males,10 Cáceres,Employment rate,2008,56.35,1
Males,11 Cádiz,Activity rate,2008,68.16,4
Males,11 Cádiz,Activity rate,2008,69.13,3
Males,11 Cádiz,Activity rate,2008,69.36,2
Males,11 Cádiz,Activity rate,2008,68.42,1
Males,11 Cádiz,Unemployment rate,2008,20.99,4
Males,11 Cádiz,Unemployment rate,2008,16.43,3
Males,11 Cádiz,Unemployment rate,2008,16.38,2
Males,11 Cádiz,Unemployment rate,2008,15.35,1
Males,11 Cádiz,Employment rate,2008,53.85,4
Males,11 Cádiz,Employment rate,2008,57.77,3
Males,11 Cádiz,Employment rate,2008,58,2
Males,11 Cádiz,Employment rate,2008,57.91,1
Males,39 Cantabria,Activity rate,2008,66.03,4
Males,39 Cantabria,Activity rate,2008,66.93,3
Males,39 Cantabria,Activity rate,2008,66.73,2
Males,39 Cantabria,Activity rate,2008,67.06,1
Males,39 Cantabria,Unemployment rate,2008,8.43,4
Males,39 Cantabria,Unemployment rate,2008,5.51,3
Males,39 Cantabria,Unemployment rate,2008,5.44,2
Males,39 Cantabria,Unemployment rate,2008,4.16,1
Males,39 Cantabria,Employment rate,2008,60.46,4
Males,39 Cantabria,Employment rate,2008,63.24,3
Males,39 Cantabria,Employment rate,2008,63.1,2
Males,39 Cantabria,Employment rate,2008,64.27,1
Males,12 Castellón/Castelló,Activity rate,2008,71.54,4
Males,12 Castellón/Castelló,Activity rate,2008,72.32,3
Males,12 Castellón/Castelló,Activity rate,2008,72.6,2
Males,12 Castellón/Castelló,Activity rate,2008,71.9,1
Males,12 Castellón/Castelló,Unemployment rate,2008,12.82,4
Males,12 Castellón/Castelló,Unemployment rate,2008,10.05,3
Males,12 Castellón/Castelló,Unemployment rate,2008,8.27,2
Males,12 Castellón/Castelló,Unemployment rate,2008,6.15,1
Males,12 Castellón/Castelló,Employment rate,2008,62.37,4
Males,12 Castellón/Castelló,Employment rate,2008,65.05,3
Males,12 Castellón/Castelló,Employment rate,2008,66.6,2
Males,12 Castellón/Castelló,Employment rate,2008,67.48,1
Males,13 Ciudad Real,Activity rate,2008,67.31,4
Males,13 Ciudad Real,Activity rate,2008,67.87,3
Males,13 Ciudad Real,Activity rate,2008,68,2
Males,13 Ciudad Real,Activity rate,2008,66.33,1
Males,13 Ciudad Real,Unemployment rate,2008,13.75,4
Males,13 Ciudad Real,Unemployment rate,2008,9.56,3
Males,13 Ciudad Real,Unemployment rate,2008,8.03,2
Males,13 Ciudad Real,Unemployment rate,2008,7.27,1
Males,13 Ciudad Real,Employment rate,2008,58.05,4
Males,13 Ciudad Real,Employment rate,2008,61.38,3
Males,13 Ciudad Real,Employment rate,2008,62.54,2
Males,13 Ciudad Real,Employment rate,2008,61.51,1
Males,14 Córdoba,Activity rate,2008,67.05,4
Males,14 Córdoba,Activity rate,2008,67.45,3
Males,14 Córdoba,Activity rate,2008,67.23,2
Males,14 Córdoba,Activity rate,2008,68.07,1
Males,14 Córdoba,Unemployment rate,2008,15.87,4
Males,14 Córdoba,Unemployment rate,2008,12.94,3
Males,14 Córdoba,Unemployment rate,2008,11.4,2
Males,14 Córdoba,Unemployment rate,2008,9.71,1
Males,14 Córdoba,Employment rate,2008,56.41,4
Males,14 Córdoba,Employment rate,2008,58.72,3
Males,14 Córdoba,Employment rate,2008,59.57,2
Males,14 Córdoba,Employment rate,2008,61.46,1
Males,15 Coruña. A,Activity rate,2008,63.05,4
Males,15 Coruña. A,Activity rate,2008,64.06,3
Males,15 Coruña. A,Activity rate,2008,64.03,2
Males,15 Coruña. A,Activity rate,2008,64.19,1
Males,15 Coruña. A,Unemployment rate,2008,8.6,4
Males,15 Coruña. A,Unemployment rate,2008,6.48,3
Males,15 Coruña. A,Unemployment rate,2008,7.12,2
Males,15 Coruña. A,Unemployment rate,2008,8.31,1
Males,15 Coruña. A,Employment rate,2008,57.62,4
Males,15 Coruña. A,Employment rate,2008,59.91,3
Males,15 Coruña. A,Employment rate,2008,59.47,2
Males,15 Coruña. A,Employment rate,2008,58.85,1
Males,16 Cuenca,Activity rate,2008,65.2,4
Males,16 Cuenca,Activity rate,2008,64.99,3
Males,16 Cuenca,Activity rate,2008,65.52,2
Males,16 Cuenca,Activity rate,2008,63.37,1
Males,16 Cuenca,Unemployment rate,2008,8.22,4
Males,16 Cuenca,Unemployment rate,2008,3.9,3
Males,16 Cuenca,Unemployment rate,2008,5.63,2
Males,16 Cuenca,Unemployment rate,2008,3.87,1
Males,16 Cuenca,Employment rate,2008,59.84,4
Males,16 Cuenca,Employment rate,2008,62.46,3
Males,16 Cuenca,Employment rate,2008,61.83,2
Males,16 Cuenca,Employment rate,2008,60.91,1
Males,20 Gipuzkoa,Activity rate,2008,68.62,4
Males,20 Gipuzkoa,Activity rate,2008,70.23,3
Males,20 Gipuzkoa,Activity rate,2008,68.82,2
Males,20 Gipuzkoa,Activity rate,2008,69.45,1
Males,20 Gipuzkoa,Unemployment rate,2008,6.36,4
Males,20 Gipuzkoa,Unemployment rate,2008,2.98,3
Males,20 Gipuzkoa,Unemployment rate,2008,3.99,2
Males,20 Gipuzkoa,Unemployment rate,2008,3.78,1
Males,20 Gipuzkoa,Employment rate,2008,64.26,4
Males,20 Gipuzkoa,Employment rate,2008,68.14,3
Males,20 Gipuzkoa,Employment rate,2008,66.07,2
Males,20 Gipuzkoa,Employment rate,2008,66.82,1
Males,17 Girona,Activity rate,2008,76.24,4
Males,17 Girona,Activity rate,2008,76.86,3
Males,17 Girona,Activity rate,2008,76.02,2
Males,17 Girona,Activity rate,2008,75.16,1
Males,17 Girona,Unemployment rate,2008,15.95,4
Males,17 Girona,Unemployment rate,2008,12.03,3
Males,17 Girona,Unemployment rate,2008,8.88,2
Males,17 Girona,Unemployment rate,2008,8.45,1
Males,17 Girona,Employment rate,2008,64.08,4
Males,17 Girona,Employment rate,2008,67.62,3
Males,17 Girona,Employment rate,2008,69.27,2
Males,17 Girona,Employment rate,2008,68.81,1
Males,18 Granada,Activity rate,2008,65.21,4
Males,18 Granada,Activity rate,2008,67.32,3
Males,18 Granada,Activity rate,2008,68.15,2
Males,18 Granada,Activity rate,2008,65.47,1
Males,18 Granada,Unemployment rate,2008,21.32,4
Males,18 Granada,Unemployment rate,2008,18.54,3
Males,18 Granada,Unemployment rate,2008,16.26,2
Males,18 Granada,Unemployment rate,2008,10.92,1
Males,18 Granada,Employment rate,2008,51.31,4
Males,18 Granada,Employment rate,2008,54.83,3
Males,18 Granada,Employment rate,2008,57.07,2
Males,18 Granada,Employment rate,2008,58.32,1
Males,19 Guadalajara,Activity rate,2008,70.52,4
Males,19 Guadalajara,Activity rate,2008,68.61,3
Males,19 Guadalajara,Activity rate,2008,68.69,2
Males,19 Guadalajara,Activity rate,2008,69.68,1
Males,19 Guadalajara,Unemployment rate,2008,10.43,4
Males,19 Guadalajara,Unemployment rate,2008,6.1,3
Males,19 Guadalajara,Unemployment rate,2008,7.4,2
Males,19 Guadalajara,Unemployment rate,2008,4.36,1
Males,19 Guadalajara,Employment rate,2008,63.16,4
Males,19 Guadalajara,Employment rate,2008,64.42,3
Males,19 Guadalajara,Employment rate,2008,63.6,2
Males,19 Guadalajara,Employment rate,2008,66.64,1
Males,21 Huelva,Activity rate,2008,65.79,4
Males,21 Huelva,Activity rate,2008,69.27,3
Males,21 Huelva,Activity rate,2008,68.85,2
Males,21 Huelva,Activity rate,2008,67.35,1
Males,21 Huelva,Unemployment rate,2008,17.86,4
Males,21 Huelva,Unemployment rate,2008,17.06,3
Males,21 Huelva,Unemployment rate,2008,14.93,2
Males,21 Huelva,Unemployment rate,2008,13.52,1
Males,21 Huelva,Employment rate,2008,54.04,4
Males,21 Huelva,Employment rate,2008,57.45,3
Males,21 Huelva,Employment rate,2008,58.57,2
Males,21 Huelva,Employment rate,2008,58.25,1
Males,22 Huesca,Activity rate,2008,70.83,4
Males,22 Huesca,Activity rate,2008,69.24,3
Males,22 Huesca,Activity rate,2008,69.96,2
Males,22 Huesca,Activity rate,2008,68.91,1
Males,22 Huesca,Unemployment rate,2008,6.74,4
Males,22 Huesca,Unemployment rate,2008,2.72,3
Males,22 Huesca,Unemployment rate,2008,4.73,2
Males,22 Huesca,Unemployment rate,2008,3.68,1
Males,22 Huesca,Employment rate,2008,66.05,4
Males,22 Huesca,Employment rate,2008,67.36,3
Males,22 Huesca,Employment rate,2008,66.66,2
Males,22 Huesca,Employment rate,2008,66.38,1
Males,23 Jaén,Activity rate,2008,65.9,4
Males,23 Jaén,Activity rate,2008,64.82,3
Males,23 Jaén,Activity rate,2008,63.96,2
Males,23 Jaén,Activity rate,2008,65.06,1
Males,23 Jaén,Unemployment rate,2008,14.63,4
Males,23 Jaén,Unemployment rate,2008,12.97,3
Males,23 Jaén,Unemployment rate,2008,11.09,2
Males,23 Jaén,Unemployment rate,2008,8.27,1
Males,23 Jaén,Employment rate,2008,56.26,4
Males,23 Jaén,Employment rate,2008,56.42,3
Males,23 Jaén,Employment rate,2008,56.87,2
Males,23 Jaén,Employment rate,2008,59.67,1
Males,24 León,Activity rate,2008,58.19,4
Males,24 León,Activity rate,2008,59.03,3
Males,24 León,Activity rate,2008,57.67,2
Males,24 León,Activity rate,2008,58.01,1
Males,24 León,Unemployment rate,2008,8.14,4
Males,24 León,Unemployment rate,2008,6.74,3
Males,24 León,Unemployment rate,2008,6.94,2
Males,24 León,Unemployment rate,2008,6.15,1
Males,24 León,Employment rate,2008,53.45,4
Males,24 León,Employment rate,2008,55.04,3
Males,24 León,Employment rate,2008,53.67,2
Males,24 León,Employment rate,2008,54.45,1
Males,25 Lleida,Activity rate,2008,71.44,4
Males,25 Lleida,Activity rate,2008,72.34,3
Males,25 Lleida,Activity rate,2008,69.19,2
Males,25 Lleida,Activity rate,2008,69.3,1
Males,25 Lleida,Unemployment rate,2008,9.11,4
